date,ticker,price
2024-01-01,AAPL,150.8066523675153
2024-01-02,AAPL,150.38758975329867
2024-01-03,AAPL,149.28029429563074
2024-01-04,AAPL,149.16021252840986
2024-01-05,AAPL,148.1602258172963
2024-01-06,AAPL,147.5720249641347
2024-01-07,AAPL,148.65887343038065
2024-01-08,AAPL,148.09742799138107
2024-01-09,AAPL,148.96924136562865
2024-01-10,AAPL,148.4612582554964
2024-01-11,AAPL,148.78807218270174
2024-01-12,AAPL,149.20532172064983
2024-01-13,AAPL,150.48041420838615
2024-01-14,AAPL,151.44364382894068
2024-01-15,AAPL,150.66079632052833
2024-01-16,AAPL,151.39454050935854
2024-01-17,AAPL,150.40638884040519
2024-01-18,AAPL,152.73249050536577
2024-01-19,AAPL,152.78965104440334
2024-01-20,AAPL,153.1644594721792
